Ingredient Name,Unit of Measurement,Purchase Unit,Conversion Factor,Cost Per Unit,Category,Description,Minimum Stock Level,Current Stock,Storage Temperature,Is Perishable,Shelf Life Days,Brand,Active,Available
Dal Kala Urd Sabut ,kg,packet,1000,94.0,Pulses,,5.0,0.0,room_temperature,False,,,True,True
Dal Taur  ,kg,packet,1000,105.0,Pulses,,15.0,0.0,room_temperature,False,,,True,True
Black Channa ,kg,packet,1000,60.0,Pulses,,7.0,0.0,room_temperature,False,,,True,True
Dal Lobia ,kg,packet,1000,84.0,Pulses,,5.0,0.0,room_temperature,False,,,True,True
Kabuli Channa ,kg,packet,1000,102.0,Pulses,,7.0,0.0,room_temperature,False,,,True,True
Dal Roasted Channa  ,kg,packet,1000,89.0,Pulses,,5.0,0.0,room_temperature,False,,,True,True
Dal Green Moong Chilka ,kg,packet,1000,89.0,Pulses,,10.0,0.0,room_temperature,False,,,True,True
Dal Red Masur  ,kg,packet,1000,72.0,Pulses,,10.0,0.0,room_temperature,False,,,True,True
Dal Black Masur  ,kg,packet,1000,70.0,Pulses,,15.0,0.0,room_temperature,False,,,True,True
Dal White Urd  ,kg,packet,1000,102.0,Pulses,,10.0,0.0,room_temperature,False,,,True,True
Curry Powder ,jar,jar,500,495.0,Pulses,,0.0,0.0,room_temperature,False,,BOLTS ,True,True
Oats ,jar,jar,215,80.0,Pulses,,4.0,0.0,room_temperature,False,,SHANTIS ,True,True
Kismis (Raisins),kg,packet,1000,300.0,Pulses,,0.25,0.0,room_temperature,False,,,True,True
Match Box ,piece,individual,1,1.0,Pulses,,10.0,0.0,room_temperature,False,,,True,True
Pista Cutting,packet,packet,1000,780.0,Pulses,,0.0,0.0,room_temperature,False,,,True,True
Pista ,kg,packet,1000,790.0,Pulses,,0.0,0.0,room_temperature,False,,,True,True
Badam (Alomd),kg,packet,1000,780.0,Pulses,,0.25,0.0,room_temperature,False,,,True,True
"Akhrote
Akhrote",kg,packet,1000,1034.0,Pulses,,0.0,0.0,room_temperature,False,,,True,True
Eno 185Mrp,liter,bottle,100,170.0,Pulses,,0.0,0.0,room_temperature,False,,,True,True
