Ingredient Name,Unit of Measurement,Purchase Unit,Conversion Factor,Cost Per Unit,Category,Description,Minimum Stock Level,Current Stock,Storage Temperature,Is Perishable,Shelf Life Days,Brand,Active,Available
Mushroom Slice ,can,can,800,58.3,Tin ,,,0,room_temperature,FALSE,,FRUTINS,TRUE,TRUE
Pineapple Slice ,can,can,840,85.87,Tin ,,,0,room_temperature,FALSE,,FRUTINS,TRUE,TRUE
Fruit Cocktail ,can,can,840,85.87,Tin ,,,0,room_temperature,FALSE,,FRUTINS,TRUE,TRUE
Tomato Puree,can,can,825,47.83,Tin ,,,0,room_temperature,FALSE,,FRUTINS,TRUE,TRUE
Red Cheeries ,can,can,830,107.8,Tin ,,,0,room_temperature,FALSE,,FRUTINS,TRUE,TRUE
Baby Corn,can,can,400,47.11,Tin ,,,0,room_temperature,FALSE,,FRUTINS,TRUE,TRUE
Coconut Milk ,can,can,400,155,Tin ,,,0,room_temperature,FALSE,,FRUTINS,TRUE,TRUE
Bamboo Shoot,can,can,800,77,Tin ,,,0,room_temperature,FALSE,,FRUTINS,TRUE,TRUE
Sweet Corn Cream Style ,can,can,440,29.33,Tin ,,,0,room_temperature,FALSE,,FRUTINS,TRUE,TRUE
Chipo.Papeer In Adoba Sauce2.8,can,can,2800,2156,Tin ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Red Cherries Syrup,can,can,830,91.65,Tin ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Green Chilli Sauce,liter,bottle,680,45,Sauce jam_pickle,,,0,room_temperature,FALSE,,CHINGH,TRUE,TRUE
Red Chilli Sauce,liter,bottle,680,45,Sauce jam_pickle,,,0,room_temperature,FALSE,,CHINGH,TRUE,TRUE
Soya Sauce  ,liter,bottle,750,45,Sauce jam_pickle,,,0,room_temperature,FALSE,,CHINGH,TRUE,TRUE
Green Chilli Sauce  ,liter,bottle,4500,235,Sauce jam_pickle,,,0,room_temperature,FALSE,,EVERPLUS ,TRUE,TRUE
Red Chilli Sauce  ,liter,bottle,4500,235,Sauce jam_pickle,,,0,room_temperature,FALSE,,EVERPLUS ,TRUE,TRUE
Tomyom Sauce,liter,bottle,1000,470,Sauce jam_pickle,,,0,room_temperature,FALSE,,,TRUE,TRUE
Soya Sauce  ,liter,bottle,5000,235,Sauce jam_pickle,,,0,room_temperature,FALSE,,EVERPLUS ,TRUE,TRUE
Barbecus Sauce,liter,bottle,510,229.41,Sauce jam_pickle,,,0,room_temperature,FALSE,,,TRUE,TRUE
Worsterd Sauce,liter,bottle,750,51.41,Sauce jam_pickle,,,0,room_temperature,FALSE,,,TRUE,TRUE
Mix Pickle ,liter,bottle,5000,245,Sauce jam_pickle,,,0,room_temperature,FALSE,,EVERPLUS ,TRUE,TRUE
Mix Jam ,liter,bottle,4500,350,Sauce jam_pickle,,5,0,room_temperature,FALSE,,EVERPLUS ,TRUE,TRUE
Tomato Ketchup ,liter,bottle,1200,82,Sauce jam_pickle,,,0,room_temperature,FALSE,,DR OETKER ,TRUE,TRUE
Tomato Ketchup ,packet,packet,2000,190,Sauce jam_pickle,,,0,room_temperature,FALSE,,KISHAN,TRUE,TRUE
Tomato Ketchup,packet,packet,5000,230,Sauce jam_pickle,,,0,room_temperature,FALSE,,,TRUE,TRUE
Tomato Ketchup Poucs,packet,packet,100,65,Sauce jam_pickle,,,0,room_temperature,FALSE,,,TRUE,TRUE
Mix Pickle ,liter,bottle,950,114,Sauce jam_pickle,,,0,room_temperature,FALSE,,EVEREST ,TRUE,TRUE
Green Chilli Pickle ,liter,bottle,950,170,Sauce jam_pickle,,,0,room_temperature,FALSE,,EVEREST ,TRUE,TRUE
8 To 8 Sauce ,liter,bottle,200,80,Sauce jam_pickle,,,0,room_temperature,FALSE,,GOLDEN CROWN ,TRUE,TRUE
Peri Peri Mayo Viba,packet,packet,1000,185,Sauce jam_pickle,,,0,room_temperature,FALSE,,,TRUE,TRUE
Tandoori Mayonise Cream,packet,packet,1000,190,Sauce jam_pickle,,,0,room_temperature,FALSE,,,TRUE,TRUE
Mayonise Cream ,packet,packet,1000,100,Sauce jam_pickle,,,0,room_temperature,FALSE,,DR OETKER ,TRUE,TRUE
Oyster Sauce ,liter,bottle,510,225,Sauce jam_pickle,,,0,room_temperature,FALSE,,LEE KUM KEE ,TRUE,TRUE
Mustard Sauce ,liter,bottle,1000,125,Sauce jam_pickle,,3,0,room_temperature,FALSE,,GOLDEN CROWN ,TRUE,TRUE
Veg Worcester Shire Sauce ,liter,bottle,200,48.75,Sauce jam_pickle,,,0,room_temperature,FALSE,,,TRUE,TRUE
H P Sauce ,liter,bottle,200,205,Sauce jam_pickle,,,0,room_temperature,FALSE,,,TRUE,TRUE
Pickle Mixed Vegetable ,liter,bottle,300,110,Sauce jam_pickle,,,0,room_temperature,FALSE,,PRIYA ,TRUE,TRUE
Green Chilli Pickle ,liter,bottle,500,130,Sauce jam_pickle,,,0,room_temperature,FALSE,,KHTARIJI ,TRUE,TRUE
Mix Fruit Jam ,liter,bottle,1000,105,Sauce jam_pickle,,,0,room_temperature,FALSE,,,TRUE,TRUE
Mixed Vegetable Pickle ,liter,bottle,300,93.49,Sauce jam_pickle,,,0,room_temperature,FALSE,,PRIYA ,TRUE,TRUE
Barbecue Sauce,liter,bottle,510,243,Sauce jam_pickle,,,0,room_temperature,FALSE,,GOLDEN CROWN,TRUE,TRUE
Nachose Chips,packet,packet,200,79.79,Sauce jam_pickle,,,0,room_temperature,FALSE,,,TRUE,TRUE
Nimboo Sat,packet,packet,1000,216.52,Sauce jam_pickle,,,0,room_temperature,FALSE,,,TRUE,TRUE
Oyester Sauce,liter,bottle,750,222,Sauce jam_pickle,,,0,room_temperature,FALSE,,,TRUE,TRUE
Piza Pista Sauce,liter,bottle,1000,155,Sauce jam_pickle,,,0,room_temperature,FALSE,,,TRUE,TRUE
Pineapple  ,liter,bottle,1000,196,Crush ,,1,0,room_temperature,FALSE,,,TRUE,TRUE
Banana Crush,liter,bottle,1,201,Crush ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Blue Curaco Cursh,liter,bottle,1,276.75,Crush ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Guava Crush ,liter,bottle,750,155.79,Crush ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Kivi Crush,liter,bottle,1000,332,Crush ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Kokam Crush,liter,bottle,750,193.75,Crush ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Mango Crush,liter,bottle,750,186,Crush ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Strawverry Crush,liter,bottle,750,184.5,Crush ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Litchi Crush 1Ltr 240/-,liter,bottle,1000,196,Crush ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Refined Oil ,can,can,15000,1900,Oil ,,18,0,room_temperature,FALSE,,BEST CHOICE ,TRUE,TRUE
Musstard Oil ,liter,bottle,1000,166,Oil ,,,0,room_temperature,FALSE,,ENGINE ,TRUE,TRUE
Olive Oil  ,liter,bottle,1000,725,Oil ,,,0,room_temperature,FALSE,,BASSO ,TRUE,TRUE
Green Olive Oil ,liter,bottle,420,200,Oil ,,,0,room_temperature,FALSE,,FIGARO ,TRUE,TRUE
Black Olive Oil ,liter,bottle,420,200,Oil ,,,0,room_temperature,FALSE,,FIGARO ,TRUE,TRUE
Salad Oil,liter,bottle,50,122.7,Oil ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Gulab Jal ,liter,bottle,500,65,Water ,,,0,room_temperature,FALSE,,GOLDEN CROWN ,TRUE,TRUE
Gulab Jal ,liter,bottle,1000,90,Water ,,1,0,room_temperature,FALSE,,GOLDEN CROWN ,TRUE,TRUE
Gulab Jal ,liter,bottle,250,45,Water ,,,0,room_temperature,FALSE,,GOLDEN CROWN ,TRUE,TRUE
Kewra Water ,liter,bottle,500,50,Water ,,1,0,room_temperature,FALSE,,GOLDEN CROWN ,TRUE,TRUE
Vinegar ,liter,bottle,680,35,Water ,,3,0,room_temperature,FALSE,,GOLDEN CROWN ,TRUE,TRUE
Kewra Water ,liter,bottle,250,50,Water ,,,0,room_temperature,FALSE,,DABUR ,TRUE,TRUE
Dal Moong Mogar ,kg,packet,1000,96,Pulses ,,45,0,room_temperature,FALSE,,,TRUE,TRUE
Dal Green Moong Sabut ,kg,packet,1000,89,Pulses ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Dal White Mutter  ,kg,packet,1000,43,Pulses ,,18,0,room_temperature,FALSE,,,TRUE,TRUE
Dal Channa ,kg,packet,1000,74,Pulses ,,24,0,room_temperature,FALSE,,,TRUE,TRUE
Dal Rajma ,kg,packet,1000,118,Pulses ,,10,0,room_temperature,FALSE,,,TRUE,TRUE
Dal Kala Urd Chilka ,kg,packet,1000,99,Pulses ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Dal Kala Urd Sabut ,kg,packet,1000,94,Pulses ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Dal Taur  ,kg,packet,1000,105,Pulses ,,45,0,room_temperature,FALSE,,,TRUE,TRUE
Black Channa ,kg,packet,1000,60,Pulses ,,20,0,room_temperature,FALSE,,,TRUE,TRUE
Dal Lobia ,kg,packet,1000,84,Pulses ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Kabuli Channa ,kg,packet,1000,102,Pulses ,,35,0,room_temperature,FALSE,,,TRUE,TRUE
Dal Roasted Channa  ,kg,packet,1000,89,Pulses ,,12,0,room_temperature,FALSE,,,TRUE,TRUE
Dal Green Moong Chilka ,kg,packet,1000,89,Pulses ,,25,0,room_temperature,FALSE,,,TRUE,TRUE
Dal Red Masur  ,kg,packet,1000,72,Pulses ,,25,0,room_temperature,FALSE,,,TRUE,TRUE
Dal Black Masur  ,kg,packet,1000,70,Pulses ,,6,0,room_temperature,FALSE,,,TRUE,TRUE
Dal White Urd  ,kg,packet,1000,102,Pulses ,,10,0,room_temperature,FALSE,,,TRUE,TRUE
Curry Powder ,jar,jar,500,495,Pulses ,,,0,room_temperature,FALSE,,BOLTS ,TRUE,TRUE
Oats ,jar,jar,215,80,Pulses ,,,0,room_temperature,FALSE,,SHANTIS ,TRUE,TRUE
Kismis (Raisins),kg,packet,1000,300,Pulses ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Match Box ,piece,individual,1,1,Pulses ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Pista Cutting,packet,packet,1000,780,Pulses ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Pista ,kg,packet,1000,790,Pulses ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Badam (Alomd),kg,packet,1000,780,Pulses ,,,0,room_temperature,FALSE,,,TRUE,TRUE
"Akhrote
Akhrote",kg,packet,1000,1034,Pulses ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Eno 185Mrp,liter,bottle,100,170,Pulses ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Nutrella Spread,liter,bottle,350,350,Pulses ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Nutrella Spread,liter,bottle,750,632.43,Pulses ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Desi Ghee ,kg,packet,1000,500,Ghee ,,2,0,room_temperature,FALSE,,KSHEER,TRUE,TRUE
Dalda Ghee ,kg,packet,1000,140,Ghee ,,,0,room_temperature,FALSE,,SCOTTER ,TRUE,TRUE
Silevada ,kg,packet,1000,48,Papad ,,,0,room_temperature,FALSE,,CHETAK ,TRUE,TRUE
Papad ,kg,packet,200,34,Papad ,,,0,room_temperature,FALSE,,VISHAL ,TRUE,TRUE
Jeera Papad ,kg,packet,500,43,Papad ,,,0,room_temperature,FALSE,,ZAKAS ,TRUE,TRUE
Madrasi Papad ,kg,packet,90,20,Papad ,,,0,room_temperature,FALSE,,SRI MEENAKSHI TRADERS ,TRUE,TRUE
Khichiya Papad ,kg,packet,1000,100,Papad ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Lijjat Papad,kg,packet,1000,340,Papad ,,,0,room_temperature,FALSE,,,TRUE,TRUE
Coconut Powder ,kg,packet,1000,288,Kitchen ,,6,0,room_temperature,FALSE,,AMIRAS ,TRUE,TRUE
Noodles ,kg,packet,800,56.25,Kitchen ,,,0,room_temperature,FALSE,,GOLDEN CROWN ,TRUE,TRUE
Vermicelli ,kg,packet,800,80.75,Kitchen ,,21,0,room_temperature,FALSE,,BAMBINO ,TRUE,TRUE
